well_id,well_name,group_name
44807,Abraxas 20 2,All Wells
44808,Nance 19 2,All Wells
44809,Lemon Farms Unit 14 1,All Wells
44811,McCloskey 42 2,All Wells
44813,Slaughter 82A 1,All Wells
44814,Rufus 3,All Wells
44815,Butchee 21 5,All Wells
44816,Cook 22 6,All Wells
44818,Rufus 9,All Wells
44819,Nugget 1,All Wells
44820,Slaughter 87B 4R,All Wells
44821,Thirsty Goat E Unit 2LS,All Wells
44822,Bauer 4,All Wells
44823,Stone 69 1,All Wells
44824,Hale 1512,All Wells
44825,Slaughter 29E 1,All Wells
44826,Snell 2,All Wells
44827,Richards 44A 1,All Wells
44828,Rawlings 43 1,All Wells
44829,Elma L Slaughter E 2,All Wells
44830,Abraxas 31A 3,All Wells
44831,Titos 31-42 1WA,All Wells
44832,Vogler 4214,All Wells
44833,Cook 21 5,All Wells
44834,Cook 21 1,All Wells
44835,Yates 82 2,All Wells
44836,Thirsty Goat W Unit 1WA,All Wells
44837,Abraxas 31A 2,All Wells
44839,Nance 19 1,All Wells
44840,Cook 21 6,All Wells
44841,Hale 1443,All Wells
44842,Slaughter 29D 2,All Wells
44843,Abraxas 30B 4,All Wells
44844,Garner 7 2,All Wells
44845,Bauer 1,All Wells
44846,Slaughter 19D 2,All Wells
44847,Slaughter 17 3,All Wells
44848,Abraxas 30 1,All Wells
44851,Hale 1523,All Wells
44852,Thomas 1541,All Wells
44853,Oneil 4 4,All Wells
44854,Slaughter 87B 2,All Wells
44855,Rufus 7,All Wells
44857,Nance 19 3R,All Wells
44858,Abraxas 28A 1,All Wells
44859,Moses Trust 69 6,All Wells
44860,Slaughter 8C 1,All Wells
44861,Deatherage 18 2,All Wells
44862,Abraxas 32 6,All Wells
44863,McCloskey 42B 1,All Wells
44864,Butchee 21 4,All Wells
44594,Stevie Ray E Unit 2LS,Horizontal Wells
44637,Stevie Ray E Allocation Unit 1LS,Horizontal Wells
44644,Titos 31-42 1WB,Horizontal Wells
44647,Thirsty Goat W Unit 2LS,Horizontal Wells
44650,Titos 31-42 2WB,Horizontal Wells
44668,Thirsty Goat E Unit 1WA,Horizontal Wells
44669,Thirsty Goat W Unit 1LS,Horizontal Wells
44670,Thirsty Goat E Unit 3LS,Horizontal Wells
44694,Stevie Ray E Unit 1WA,Horizontal Wells
44717,Titos 31-42 2WA,Horizontal Wells
44722,Lady Bird 22-14 1WB,Horizontal Wells
44729,Thirsty Goat E Unit 1LS,Horizontal Wells
44750,Thirsty Goat E Unit 2WA,Horizontal Wells
44756,Titos 31-42 1LS,Horizontal Wells
44764,Titos 31-42 3WA,Horizontal Wells
44777,Lady Bird 22-14 1WA,Horizontal Wells
44790,Lady Bird 22-14 1LS,Horizontal Wells
44799,Titos 31-42 2LS,Horizontal Wells
44804,Stevie Ray E Unit 3LS,Horizontal Wells
44821,Thirsty Goat E Unit 2LS,Horizontal Wells
44831,Titos 31-42 1WA,Horizontal Wells
44836,Thirsty Goat W Unit 1WA,Horizontal Wells
44592,Deatherage 23 2,Vertical Wells
44593,Abraxas 30A 2,Vertical Wells
44595,Richards 41A 1,Vertical Wells
44596,Nance 19 6,Vertical Wells
44597,Slaughter Bauer 832,Vertical Wells
44598,Richards 47A 1,Vertical Wells
44599,Self 3,Vertical Wells
44600,Stephens 1,Vertical Wells
44601,Slaughter 19D 1,Vertical Wells
44602,Abraxas 28B 1,Vertical Wells
44604,Johnson C 1,Vertical Wells
44605,Heald 4,Vertical Wells
44608,Slaughter 87B 3,Vertical Wells
44609,Holcomb 45A 1,Vertical Wells
44610,Rufus 4,Vertical Wells
44612,Abraxas 27B 1,Vertical Wells
44613,Slaughter 29E 3,Vertical Wells
44614,Elma L Slaughter G 4,Vertical Wells
44615,Slaughter 8A 1,Vertical Wells
44616,Abraxas 32A 1,Vertical Wells
44617,Oneil 4 2,Vertical Wells
44618,Nance 19 5,Vertical Wells
44619,Abraxas 28 2,Vertical Wells
44620,Abraxas 32 5,Vertical Wells
44622,Elma L Slaughter D 2,Vertical Wells
44623,Davis 18 1,Vertical Wells
44624,Abraxas 30A 3,Vertical Wells
44625,Stone 70 1,Vertical Wells
44626,Thomas 1542,Vertical Wells
44627,Deatherage 2,Vertical Wells
44628,Cook 21 2,Vertical Wells
44629,Thomas A 1543,Vertical Wells
44630,Slaughter 82B 1,Vertical Wells
44633,Garner 7 3,Vertical Wells
44635,Abraxas 31C 3,Vertical Wells
44636,Abraxas 32 11,Vertical Wells
44638,Holcomb 2,Vertical Wells
44639,Gary Lamb 14A 1,Vertical Wells
44640,Butchee 21 7,Vertical Wells
44642,Snell F E 1,Vertical Wells
44643,Slaughter 19C 1,Vertical Wells
44646,Butchee 21 3,Vertical Wells
44648,Slaughter 544,Vertical Wells
44649,Moses Trust 69 5,Vertical Wells
44652,Rufus 8,Vertical Wells
44653,Cook 22 4,Vertical Wells
44655,Slaughter 29B 2,Vertical Wells
44656,Barron 82 1,Vertical Wells
44657,Butchee 21 8,Vertical Wells
44659,Davis 14 1,Vertical Wells
44660,Cook 21 7,Vertical Wells
44661,Moses Trust 69 4,Vertical Wells
44662,Middleton 3,Vertical Wells
44664,Hale 1444,Vertical Wells
44665,Jumper 1,Vertical Wells
44666,Abraxas 16 2,Vertical Wells
44667,Cook 21 8,Vertical Wells
44673,Davison 41 1,Vertical Wells
44674,Abraxas 16 1,Vertical Wells
44675,Abraxas 28D 1,Vertical Wells
44676,Bauer 2,Vertical Wells
44677,Bauer 3,Vertical Wells
44678,McCloskey 42 3,Vertical Wells
44679,Slaughter 87A 1,Vertical Wells
44680,Abraxas 32B 8,Vertical Wells
44681,Schneider A 1,Vertical Wells
44682,Abraxas 31C 2,Vertical Wells
44684,Williams 6 2,Vertical Wells
44685,Hale 1524,Vertical Wells
44686,Slaughter -C- 1,Vertical Wells
44687,Butchee 21 6,Vertical Wells
44688,Foster 41 1,Vertical Wells
44690,Beckham 1,Vertical Wells
44691,Hale 1441,Vertical Wells
44692,Deatherage 18 1,Vertical Wells
44693,Slaughter 87A 2,Vertical Wells
44695,Abraxas 30 3,Vertical Wells
44696,Oneil 4 3,Vertical Wells
44697,Butchee 21 1,Vertical Wells
44698,Slaughter 87B 1,Vertical Wells
44699,Deatherage 23 1,Vertical Wells
44700,Lucy 1,Vertical Wells
44701,Slaughter 75A 1,Vertical Wells
44702,Middleton 2,Vertical Wells
44703,Richards 44 3,Vertical Wells
44705,Cook 22 8,Vertical Wells
44706,Nichols 24 1,Vertical Wells
44707,Richards 44 4,Vertical Wells
44708,Slaughter 533,Vertical Wells
44709,Abraxas 27 1,Vertical Wells
44711,Slaughter -B- 4,Vertical Wells
44712,Abraxas 27 4,Vertical Wells
44714,Abraxas 32 12,Vertical Wells
44715,Elma L Slaughter G 1,Vertical Wells
44716,Elma L Slaughter 1,Vertical Wells
44718,Hale 1521,Vertical Wells
44719,Slaughter 514,Vertical Wells
44720,Williams 6 1,Vertical Wells
44721,Baldwin 7 2,Vertical Wells
44723,Slaughter 29B 1,Vertical Wells
44724,Butchee 21 2,Vertical Wells
44728,Abraxas 32B 10,Vertical Wells
44731,Abraxas 31B 1,Vertical Wells
44732,Slaughter B-3 1,Vertical Wells
44734,Garner 7 1,Vertical Wells
44735,Cook 21 3,Vertical Wells
44736,Baldwin 7 1,Vertical Wells
44737,Abraxas 32C 1,Vertical Wells
44738,Snell 43A 1,Vertical Wells
44739,Yates 82 4,Vertical Wells
44740,Abraxas 31 1,Vertical Wells
44741,Deatherage 18 3,Vertical Wells
44742,McCloskey 42 1,Vertical Wells
44746,Grace 1,Vertical Wells
44747,Richards 44B Pooled Unit 1,Vertical Wells
44748,Glasscock 7 2,Vertical Wells
44749,Rawlings 43 2,Vertical Wells
44752,Slaughter 29D 1,Vertical Wells
44753,Abraxas 28D 2,Vertical Wells
44754,McCloskey 42A 1,Vertical Wells
44755,Richards 41 1,Vertical Wells
44757,Thomas A 1544,Vertical Wells
44759,Bauer 5,Vertical Wells
44760,Holcomb 45 3,Vertical Wells
44762,Abraxas 28 1,Vertical Wells
44763,Slaughter 17 2,Vertical Wells
44766,Abraxas 28E 1,Vertical Wells
44767,Nance 19 4,Vertical Wells
44768,Abraxas 27A 2,Vertical Wells
44769,Abraxas 30A 1,Vertical Wells
44771,McCloskey 42B 2,Vertical Wells
44772,Abraxas 30B 1,Vertical Wells
44773,Butchee 22B 4,Vertical Wells
44774,Slaughter 29A 1,Vertical Wells
44775,Rufus 2,Vertical Wells
44778,Schneider A 2,Vertical Wells
44779,Farms 19 3,Vertical Wells
44780,Vogler 4224,Vertical Wells
44781,Cook 22 1,Vertical Wells
44782,Slaughter 19B 1,Vertical Wells
44783,Oneil 4 1,Vertical Wells
44786,Abraxas 27 2,Vertical Wells
44787,Slaughter 74E 1,Vertical Wells
44788,Rufus 6,Vertical Wells
44789,Cook 22 5,Vertical Wells
44791,Nichols 24 3,Vertical Wells
44793,Moses Trust 69 2,Vertical Wells
44794,Slaughter 74F 1,Vertical Wells
44795,Slaughter 29C 1,Vertical Wells
44797,Abraxas 31B 3,Vertical Wells
44798,Cook 22 3,Vertical Wells
44800,Holcomb 45 2,Vertical Wells
44801,Cook 21 4,Vertical Wells
44802,Butchee 22A 1,Vertical Wells
44803,Abraxas 20 1,Vertical Wells
44805,Hale 42 1,Vertical Wells
44806,Slaughter 75D 1,Vertical Wells
44807,Abraxas 20 2,Vertical Wells
44808,Nance 19 2,Vertical Wells
44809,Lemon Farms Unit 14 1,Vertical Wells
44811,McCloskey 42 2,Vertical Wells
44813,Slaughter 82A 1,Vertical Wells
44814,Rufus 3,Vertical Wells
44815,Butchee 21 5,Vertical Wells
44816,Cook 22 6,Vertical Wells
44818,Rufus 9,Vertical Wells
44819,Nugget 1,Vertical Wells
44820,Slaughter 87B 4R,Vertical Wells
44822,Bauer 4,Vertical Wells
44823,Stone 69 1,Vertical Wells
44824,Hale 1512,Vertical Wells
44825,Slaughter 29E 1,Vertical Wells
44826,Snell 2,Vertical Wells
44827,Richards 44A 1,Vertical Wells
44828,Rawlings 43 1,Vertical Wells
44829,Elma L Slaughter E 2,Vertical Wells
44830,Abraxas 31A 3,Vertical Wells
44832,Vogler 4214,Vertical Wells
44833,Cook 21 5,Vertical Wells
44834,Cook 21 1,Vertical Wells
44835,Yates 82 2,Vertical Wells
44837,Abraxas 31A 2,Vertical Wells
44839,Nance 19 1,Vertical Wells
44840,Cook 21 6,Vertical Wells
44841,Hale 1443,Vertical Wells
44842,Slaughter 29D 2,Vertical Wells
44843,Abraxas 30B 4,Vertical Wells
44844,Garner 7 2,Vertical Wells
44845,Bauer 1,Vertical Wells
44846,Slaughter 19D 2,Vertical Wells
44847,Slaughter 17 3,Vertical Wells
44848,Abraxas 30 1,Vertical Wells
44851,Hale 1523,Vertical Wells
44852,Thomas 1541,Vertical Wells
44853,Oneil 4 4,Vertical Wells
44854,Slaughter 87B 2,Vertical Wells
44855,Rufus 7,Vertical Wells
44857,Nance 19 3R,Vertical Wells
44858,Abraxas 28A 1,Vertical Wells
44859,Moses Trust 69 6,Vertical Wells
44860,Slaughter 8C 1,Vertical Wells
44861,Deatherage 18 2,Vertical Wells
44862,Abraxas 32 6,Vertical Wells
44863,McCloskey 42B 1,Vertical Wells
44864,Butchee 21 4,Vertical Wells
44594,Stevie Ray E Unit 2LS,ESP Wells
44637,Stevie Ray E Allocation Unit 1LS,ESP Wells
44644,Titos 31-42 1WB,ESP Wells
44647,Thirsty Goat W Unit 2LS,ESP Wells
44650,Titos 31-42 2WB,ESP Wells
44668,Thirsty Goat E Unit 1WA,ESP Wells
44669,Thirsty Goat W Unit 1LS,ESP Wells
44670,Thirsty Goat E Unit 3LS,ESP Wells
44694,Stevie Ray E Unit 1WA,ESP Wells
44717,Titos 31-42 2WA,ESP Wells
44722,Lady Bird 22-14 1WB,ESP Wells
44729,Thirsty Goat E Unit 1LS,ESP Wells
44750,Thirsty Goat E Unit 2WA,ESP Wells
44756,Titos 31-42 1LS,ESP Wells
44764,Titos 31-42 3WA,ESP Wells
44777,Lady Bird 22-14 1WA,ESP Wells
44790,Lady Bird 22-14 1LS,ESP Wells
44799,Titos 31-42 2LS,ESP Wells
44804,Stevie Ray E Unit 3LS,ESP Wells
